"id_responsavel","nome_responsavel","cpf"
1,"
Alana Mirelle Duarte","024.184.397-52"
2,"
Caio Breno Farias","831.975.203-68"
3,"
Érica Tamires Navarro","439.827.645-13"
4,"
Davi Lorenzo Castilho","095.342.788-20"
5,"
Luana Pietra Soares","782.653.109-06"
6,"
Bruno Elias Monteiro","301.857.964-47"
7,"
Tânia Mirela Campos","610.238.795-84"
8,"
Jonas Érico Silveira","143.987.026-91"
9,"
Clara Lisbela Moura","509.326.471-59"
10,"
Rafael Otávio Bastos","367.210.508-06"
11,"
Sabrina Eloá Mendes","216.759.843-70"
12,"
Vítor Yuri Fonseca","475.682.194-33"
13,"
Lívia Helena Prado","958.170.346-61"
14,"
Enzo Danilo Carvalho","104.392.875-27"
15,"
Júlia Lorena Teixeira","876.310.524-45"
16,"
Felipe Cael Machado","332.187.906-95"
17,"
Marina Lis Vilar","400.891.263-08"
18,"
Matheus Ícaro Barreto","217.085.149-70"
19,"
Bianca Rayane Tavares","386.275.804-24"
20,"
Igor Nathaniel Castro","920.651.347-59"
21,"
Larissa Isadora Ribeiro","471.239.688-06"
22,"
Rodrigo Thales Azevedo","184.095.370-80"
23,"
Tainá Mirele Ventura","538.910.762-24"
24,"
André Lucas Camargo","602.874.391-90"
25,"
Mirella Jade Fagundes","721.650.803-51"
26,"
Gustavo Samuel Andrade","485.091.702-47"
27,"
Yasmin Elenice Moraes","874.620.359-62"
28,"
Henrique Raul Nogueira","391.270.684-53"
29,"
Elisa Manuela Antunes","168.473.092-70"
30,"
Tiago Emanuel Galvão","215.894.306-28"
31,"
Bruna Eloísa Pacheco","324.075.691-94"
32,"
Diego Rafael Bastiani","140.693.204-82"
33,"
Aline Cecília Brandão","865.217.093-00"
34,"
Danilo Hugo Reis","293.518.760-40"
35,"
Vanessa Betina Furlan","030.946.285-97"
36,"
Leonardo Diogo Teles","719.284.053-85"
37,"
Beatriz Norah Mattos","586.037.910-02"
38,"
Bruno Kelvin Passos","438.126.074-30"
39,"
Fernanda Mariane Gusmão","392.174.860-17"
40,"
Jorge Alan Rangel","801.254.397-93"
41,"
Karina Taís Sanches","759.834.601-25"
42,"
Lucas Vinícius Peixoto","148.067.529-60"
43,"
Vitória Camille Araújo","013.972.648-78"
44,"
Daniel Kaio Macedo","278.640.198-04"
45,"
Letícia Rayana Cardoso","396.281.705-22"
46,"
Wellington Tomé Rocha","472.051.649-35"
47,"
Jéssica Dandara Ramos","837.510.296-61"
48,"
Alexandre Saulo Martins","621.847.015-93"
49,"
Camila Giovana Leite","204.971.308-57"
50,"
Fábio William Torres","931.058.260-99"
51,"
Patrícia Morgana Luz","043.175.986-74"
52,"
Eduardo Bento Chaves","798.620.173-49"
53,"
Heloísa Gabriela Pinho","124.973.590-33"
54,"
Otávio Caetano Farias","280.145.307-61"
55,"
Ana Letícia Cordeiro","934.268.471-40"
56,"
Guilherme Ramon Braga","210.584.306-17"
57,"
Priscila Dália Xavier","340.689.173-08"
58,"
Nathan Augusto Vieira","617.394.520-00"
59,"
Paola Eloany Brito","395.184.602-77"
60,"
Emerson Gael Medeiros","731.905.048-13"
61,"
Juliana Louise Santana","819.265.740-95"
62,"
Ítalo Henrique Penha","576.031.280-24"
63,"
Clarice Taiane Varela","068.943.512-76"
64,"
Renan Moisés Goulart","182.094.753-80"
65,"
Milena Thayla Vilela","706.218.435-91"
66,"
Vinícius Ruan Mendonça","843.126.598-74"
67,"
Fabiana Elaine Dutra","351.874.209-04"
68,"
Thiago Felipe Nóbrega","921.760.348-66"
69,"
Rafaela Brígida Paredes","154.730.865-27"
70,"
Cássio Adriano Serrano","082.915.743-39"
71,"
Manuela Vitória Portela","760.843.190-00"
72,"
Wallace Breno Salles","472.013.658-51"
73,"
Eliane Marisol Quintana","187.032.476-67"
74,"
Pablo Caíque Alencar","608.521.790-90"
75,"
Débora Nayara Almeida","947.218.653-08"
76,"
Ramon Stênio Cardoso","405.973.861-72"
77,"
Noemi Cecília Barreiro","118.027.340-64"
78,"
Rafael Yuri Ribeiro","360.185.704-51"
79,"
Giselle Dayane Cunha","580.432.197-96"
80,"
João Levi Bezerra","096.170.208-34"
81,"
Vanessa Lohana Amaral","849.723.506-60"
82,"
Alexsandro Hugo Targino","134.095.382-48"
83,"
Caroline Luísa Simões","279.538.470-13"
84,"
Mauro Giovanni Mendes","038.146.957-92"
85,"
Isabela Ester Caldas","163.875.290-06"
86,"
Breno Thiago Diniz","743.219.065-88"
87,"
Nicole Rebeca Neves","914.052.386-23"
88,"
Eduardo Guilherme Pita","573.840.610-71"
89,"
Lígia Verônica Siqueira","278.041.759-30"
90,"
Jorge Renato Lopes","146.078.392-60"
91,"
Tábata Mylena Seabra","603.970.285-12"
92,"
Edson Marcos Veloso","419.067.843-40"
93,"
Iolanda Mirela Parente","782.634.509-77"
94,"
Cristian Júnior Corrêa","094.127.608-28"
95,"
Sabrina Eloisa Drumond","257.840.391-95"
96,"
Ramon Felipe Bittencourt","609.381.274-46"
97,"
Érika Samara Lisboa","845.670.189-14"
98,"
Luan Emerson Fagundes","230.986.407-99"
99,"
Pamela Lívia Gusmão","184.305.927-10"
100,"
Fernando Otávio Nunes","507.892.146-84"
101,"
Sônia Laís Benevides","153.760.024-75"
102,"
Luciano Ariel Pimenta","604.283.175-63"
103,"
Rafaela Elenice Dourado","986.014.207-51"
104,"
Wagner Edmar Caldas","415.029.836-80"
105,"
Bianca Maíra Tenório","809.472.601-97"
106,"
Danilo Wallace Batista","379.861.025-15"
