"id_contato","responsavel_id","contato","tipo_contato"
1,100,"(31)920576184","whatsapp"
2,140,"(31)937441064","whatsapp"
3,57,"(31)961557889","whatsapp"
4,90,"(31)926945379","whatsapp"
5,92,"(31)920376114","whatsapp"
6,28,"(31)960504338","whatsapp"
7,109,"(31)922799255","whatsapp"
8,107,"(31)961157048","whatsapp"
9,139,"(31)952744047","whatsapp"
10,137,"(31)932560910","whatsapp"
11,43,"(31)925733985","whatsapp"
12,36,"(31)966813954","whatsapp"
13,29,"(31)979151619","whatsapp"
14,23,"(31)962888022","whatsapp"
15,136,"(31)921012243","whatsapp"
16,35,"(31)976434195","whatsapp"
17,110,"(31)963855743","whatsapp"
18,113,"(31)918483942","whatsapp"
19,148,"(31)933236879","whatsapp"
20,59,"(31)989999969","whatsapp"
21,89,"(31)957662257","whatsapp"
22,112,"(31)997412422","whatsapp"
23,130,"(31)974274853","whatsapp"
24,58,"(31)937208951","whatsapp"
25,143,"(31)923887727","whatsapp"
26,11,"(31)945901377","whatsapp"
27,41,"(31)939131667","whatsapp"
28,82,"(31)936264032","whatsapp"
29,95,"(31)911364804","whatsapp"
30,111,"(31)995739505","whatsapp"
31,108,"(31)962261806","whatsapp"
32,86,"(31)928593279","whatsapp"
33,133,"(31)922693711","whatsapp"
34,66,"(31)999362915","whatsapp"
35,64,"(31)965086778","whatsapp"
36,76,"(31)952440282","whatsapp"
37,16,"(31)928379188","whatsapp"
38,97,"(31)985035610","whatsapp"
39,147,"(31)913186618","whatsapp"
40,134,"(31)964361915","whatsapp"
41,6,"(31)998265349","whatsapp"
42,37,"(31)942849433","whatsapp"
43,85,"(31)914822875","whatsapp"
44,30,"(31)945035211","whatsapp"
45,99,"(31)963457740","whatsapp"
46,96,"(31)971485242","whatsapp"
47,3,"(31)946848952","whatsapp"
48,47,"(31)918749398","whatsapp"
49,44,"(31)954309852","whatsapp"
50,55,"(31)963738369","celular"
51,63,"(31)982364258","whatsapp"
52,149,"(31)998948876","whatsapp"
53,39,"(31)963711498","whatsapp"
54,79,"(31)951817482","whatsapp"
55,91,"(31)941320872","whatsapp"
56,106,"(31)941885352","whatsapp"
57,77,"(31)992008484","whatsapp"
58,114,"(31)945209688","whatsapp"
59,141,"(31)913550451","whatsapp"
60,12,"(31)970181669","whatsapp"
61,146,"(31)919726199","whatsapp"
62,101,"(31)956573104","whatsapp"
63,128,"(31)971202833","whatsapp"
64,117,"(31)912278088","whatsapp"
65,80,"(31)993709163","whatsapp"
66,26,"(31)992974548","whatsapp"
67,142,"(31)997100872","whatsapp"
68,125,"(31)937962319","whatsapp"
69,1,"(31)991319072","whatsapp"
70,72,"(31)945029796","whatsapp"
71,98,"(31)992279299","whatsapp"
72,68,"(31)988989614","whatsapp"
73,20,"(31)992320145","whatsapp"
74,25,"(31)960926385","whatsapp"
75,94,"(31)970345754","whatsapp"
76,67,"(31)920151954","whatsapp"
77,81,"(31)969481444","whatsapp"
78,5,"(31)970604752","whatsapp"
79,127,"(31)984460243","whatsapp"
80,24,"(31)970767288","whatsapp"
81,60,"(31)917130718","whatsapp"
82,49,"(31)967850597","whatsapp"
83,71,"(31)942641261","whatsapp"
84,51,"(31)941876491","whatsapp"
85,65,"(31)931669616","whatsapp"
86,19,"(31)976208038","whatsapp"
87,93,"(31)932741888","whatsapp"
88,138,"(31)998066234","whatsapp"
89,52,"(31)983541418","whatsapp"
90,61,"(31)916622881","whatsapp"
91,129,"(31)958225897","whatsapp"
92,38,"(31)995455136","whatsapp"
93,116,"(31)936484147","whatsapp"
94,18,"(31)924141648","whatsapp"
95,32,"(31)982719033","whatsapp"
96,115,"(31)914488687","whatsapp"
97,15,"(31)932352995","whatsapp"
98,132,"(31)954563405","whatsapp"
99,119,"(31)932615737","whatsapp"
100,27,"(31)972285069","celular"
101,69,"(31)967799191","whatsapp"
102,123,"(31)924861655","whatsapp"
103,17,"(31)920235910","whatsapp"
104,78,"(31)942011076","whatsapp"
105,2,"(31)952462075","whatsapp"
106,46,"(31)986093416","whatsapp"
107,54,"(31)993946653","whatsapp"
108,40,"(31)973280288","whatsapp"
109,131,"(31)977272943","whatsapp"
110,84,"(31)969372477","whatsapp"
111,42,"(31)977927035","whatsapp"
112,103,"(31)957658002","whatsapp"
113,88,"(31)956266679","whatsapp"
114,48,"(31)917477312","whatsapp"
115,62,"(31)911332422","whatsapp"
116,120,"(31)923348618","whatsapp"
117,75,"(31)969085501","whatsapp"
118,121,"(31)939771495","whatsapp"
119,21,"(31)960093028","whatsapp"
120,104,"(31)918134335","whatsapp"
121,10,"(31)915817177","whatsapp"
122,124,"(31)955922859","whatsapp"
123,105,"(31)931963297","whatsapp"
124,135,"(31)921971250","whatsapp"
125,74,"(31)997748242","whatsapp"
126,102,"(31)982727331","whatsapp"
127,122,"(31)919741119","whatsapp"
128,118,"(31)931994055","whatsapp"
129,34,"(31)992405904","whatsapp"
130,31,"(31)977564074","whatsapp"
131,14,"(31)957716807","whatsapp"
132,126,"(31)935985766","whatsapp"
133,13,"(31)974454510","whatsapp"
134,87,"(31)943020465","whatsapp"
135,73,"(31)995569194","whatsapp"
136,4,"(31)926818927","whatsapp"
137,56,"(31)927639476","whatsapp"
138,9,"(31)956303105","whatsapp"
139,70,"(31)975897933","whatsapp"
140,144,"(31)951280149","whatsapp"
141,8,"(31)980699250","whatsapp"
142,45,"(31)949088712","whatsapp"
143,53,"(31)985684003","whatsapp"
144,145,"(31)980536348","whatsapp"
145,33,"(31)922942219","whatsapp"
146,150,"(31)929461251","whatsapp"
147,50,"(31)938998296","whatsapp"
148,7,"(31)976145268","whatsapp"
149,83,"(31)998647277","whatsapp"
150,22,"(31)992245798","whatsapp"
